burglary,theft plain - petty ($950 & under),battery - simple assault,burglary from vehicle,vehicle - stolen,theft of identity,criminal threats - no weapon displayed,"assault with deadly weapon, aggravated assault",document forgery / stolen felony,"letters, lewd",other miscellaneous crime,"rape, forcible",battery with sexual contact,brandish weapon,"bunco, grand theft",crm agnst chld (13 or under) (14-15 & susp 10 yrs older)0060,threatening phone calls/letters,child annoying (17yrs & under),discharge firearms/shots fired,stalking,grid_id,week_year,week_number
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2012,17
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2012,18
1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2012,19
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2012,20
1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2012,21
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2012,22
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2012,23
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2012,24
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2012,25
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2012,26
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2012,28
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2012,29
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2012,30
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2012,31
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2012,32
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2012,33
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2012,35
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2012,36
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2012,37
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2012,38
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2012,39
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2012,40
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2012,41
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2012,42
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2012,43
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2012,44
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2012,45
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2012,46
1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2012,47
1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2012,48
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2012,49
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2012,50
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2012,51
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2012,52
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2013,1
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2013,2
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2013,3
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2013,4
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2013,5
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2013,6
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2013,7
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2013,9
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2013,10
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2013,11
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2013,12
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2013,13
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2013,14
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2013,16
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2013,18
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2013,19
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2013,21
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2013,22
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2013,23
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2013,24
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2013,25
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2013,26
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2013,27
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2013,28
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2013,29
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2013,30
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2013,31
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2013,32
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2013,34
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2013,35
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grid_lat33.702_lon-118.3,2013,36
